country,year,IncomeGroup,TempChange,GM_PM25,sro_year,ssro_year,Urban,CHERate,OutPocketRate,CPI,lnPopDensity,lnTravel,WASHIndex,ImmIndex,AMC,J01A,J01B,J01C,J01D,J01E,J01F,J01G,J01M,SE.PRM.NENR,SE.SEC.NENR,AnimalmgKg,AnimalmgKg_adj,Aminoglycosides,Amphenicols,Cephalosporins,Lincosamides,Macrolides,Fluoroquinolones,Other quinolones,Penicillins,Pleuromutilins,Polypeptides,Sulfonamides,Tetracyclines,Others
27,1999,LM,0.337,29.4,1.598272213,2.379360022,61.264,NA,NA,25,0.89154492,5.534026106,NA,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1999,LM,0.612,27,1.98312295,3.340224678,42.069,NA,NA,NA,1.909093434,5.167317335,NA,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1999,UM,0.552,23.1,0.029369834,0.001113221,52.372,NA,NA,61,0.474910691,6.016615548,NA,95.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.06617,56.64096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1999,UM,0.523,13.9,2.516591617,5.24542168,80.496,NA,NA,41,1.317155496,6.708165858,NA,97.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,1999,NA,0.525,8.4,NA,NA,41.5,NA,NA,NA,2.115854491,5.45331834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.35541,77.33152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1999,LM,0.696,23.9,0.697012471,0.783700801,68.677,NA,NA,33,1.870503252,6.703807065,NA,97,15.107,NA,NA,NA,NA,NA,NA,NA,NA,95.59626,85.22409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1999,L,0.548,35.2,0.353052682,0.045808401,17.166,NA,NA,NA,1.62484706,5.068185862,NA,35.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.48973,8.63831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1999,L,NA,20.6,4.050732952,4.513757853,8.036,NA,NA,NA,2.381406105,4.414973348,NA,75.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1999,LM,0.794,28.1,0.015215608,0,52.505,NA,NA,NA,2.047547336,4.826074803,NA,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1999,L,0.409,13.5,2.652490839,4.970786315,18.47,NA,NA,NA,1.828716765,5.565847819,NA,64.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.69373,14.87675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
